URN,EstablishmentName,LocalAuthority,NO2,PERCTOT,Latitude,Longitude
100430,Tufnell Park Primary School,Islington,36.4,4.8,51.554449,-0.129572
100431,Highbury Quadrant Primary School,Islington,40.2,4.2,51.553941,-0.091872
100432,Ashmount Primary School,Islington,35.8,5.1,51.573959,-0.122003
100434,Prior Weston Primary School and Children's Centre,Islington,45.2,4,51.521945,-0.093469
100437,Sacred Heart Catholic Primary School,Merton,37.7,2.6,51.400364,-0.240655
100438,St John Evangelist RC Primary School,Islington,54.7,3.7,51.533951,-0.10407
100439,St John's Upper Holloway CofE Primary School,Islington,40.9,4.8,51.562736,-0.131541
100440,St John's Highbury Vale CofE Primary School,Islington,37.9,2.9,51.558275,-0.100188
100441,St Joseph's Catholic Primary School,Lewisham,40,2.8,51.408685,-0.294968
100442,St Jude and St Paul's CofE Primary School,Islington,43.2,4.5,51.548148,-0.07909
100443,St Luke's CofE Primary School,Westminster,45.1,3.7,51.41624,-0.296305
100444,St Mark's CofE Primary School,Islington,39,3.5,51.564356,-0.120942
100446,St Mary's CofE Primary School,Wandsworth,36,5.6,51.585901,-0.115275
100447,St Peter and St Paul RC Primary School,Islington,46.3,4.9,51.52497,-0.10094
100448,St Andrew's (Barnsbury) Church of England Primary School,Islington,43.5,3.7,51.538185,-0.114622
100449,St Joan of Arc RC Primary School,Islington,39.9,2.9,51.556609,-0.096102
100450,Christ The King RC Primary School,Islington,36.9,3.3,51.566913,-0.113867
100451,Blessed Sacrament RC Primary School,Islington,44.7,4,51.536613,-0.119059
100453,Holloway School,Islington,36.6,4.6,51.553079,-0.129354
100455,Highbury Fields School,Islington,37.1,5.1,51.552803,-0.101526
100457,Elizabeth Garrett Anderson School,Islington,45.8,4.3,51.532953,-0.113613
100458,Central Foundation Boys' School,Islington,60.60,4.5,51.525112,-0.085742
100459,St Aloysius RC College,Islington,42.3,3.7,51.569818,-0.138667
100477,Ashburnham Community School,Kensington and Chelsea,52,3.6,51.481814,-0.177927
100478,Barlby Primary School,Kensington and Chelsea,41.1,4.6,51.523722,-0.215468
100479,Bevington Primary School,Kensington and Chelsea,39.7,4.4,51.521326,-0.208139
100480,Bousfield Primary School,Kensington and Chelsea,44.2,3.4,51.490071,-0.186197
100481,Colville Primary School,Kensington and Chelsea,43.6,3.7,51.514638,-0.203669
100482,Fox Primary School,Kensington and Chelsea,44.8,2.5,51.50749,-0.196702
100483,Marlborough Primary School,Kensington and Chelsea,44.6,4.4,51.478955,-0.327696
100485,Oxford Gardens Primary School,Kensington and Chelsea,45.1,4.6,51.51739,-0.216691
100486,Park Walk Primary School,Kensington and Chelsea,46.8,5.4,51.484152,-0.177978
100487,Avondale Park Primary School,Kensington and Chelsea,39,5.5,51.510892,-0.214428
100488,Thomas Jones Primary School,Kensington and Chelsea,43.1,2.3,51.514911,-0.210389
100489,Christ Church CofE Primary School,Wandsworth,39,3,51.391855,-0.286632
100490,Holy Trinity CofE Primary School,Merton,32.8,4.7,51.422484,-0.195002
100491,Oratory Roman Catholic Primary School,Kensington and Chelsea,43.7,3.2,51.490616,-0.170316
100492,St Thomas' CofE Primary School,Kensington and Chelsea,43.2,3.6,51.523776,-0.208514
100493,St Barnabas and St Philip's CofE Primary School,Kensington and Chelsea,44.4,3.5,51.497899,-0.198176
100494,Saint Francis of Assisi Catholic Primary School,Kensington and Chelsea,43.6,4.6,51.512214,-0.216937
